ETFid,Mon_ud,Mon_cprice,Tue_ud,Tue_cprice,Wed_ud,Wed_cprice,Thu_ud,Thu_cprice,Fri_ud,Fri_cprice
50,1,82.9411709042453,-1,82.21923343566039,1,82.75532453415096,1,82.86298592386794,-1,82.84423189613207
51,-1,33.42510412,-1,33.40610040528302,-1,33.38696133990566,1,33.45856609801887,1,33.45945395028302
52,1,54.0883653609434,1,54.752274210283026,-1,53.99320745367925,1,54.09387430660377,1,54.12743949792453
53,1,36.48957619886793,1,36.647228461603774,-1,36.51439436132076,1,36.58500363896227,1,36.6021412145283
54,-1,24.243686261886793,-1,24.075150738301886,1,24.346548323867925,1,24.38957146754717,-1,24.370311775943396
55,-1,17.225394943207547,-1,17.145333371320756,1,17.22365687622641,1,17.22876894716981,-1,17.214658090566036
56,-1,26.208536154905666,-1,25.89270763981132,1,26.244845084245284,1,26.25794435518868,-1,26.251908816509435
57,1,51.027234151415094,-1,50.41578908169811,1,50.88504882301886,1,50.97959713330189,-1,50.96156849386792
58,-1,47.1719243104717,-1,46.26795057952831,1,47.18011301000001,1,47.295166354622644,-1,47.25134376896226
59,-1,42.14437457858491,1,42.1528035714151,1,42.233259165188684,1,42.31422417556604,-1,42.27076074132075
6201,1,14.819133096981135,1,14.891943001509434,-1,14.757319192735848,1,14.803955943018867,1,14.817705150943395
6203,1,38.744802944999996,-1,38.430725257547174,1,38.75299399877358,1,38.84975273226415,1,38.85545931311321
6204,-1,54.676512040754716,-1,54.46292775075472,1,54.74253311924527,1,54.78887206132076,-1,54.786509283584905
6208,1,48.55308026509434,-1,48.00262653433962,1,48.52343369405661,1,48.538227137547175,1,48.57924264415094
690,-1,21.892819216698115,-1,21.85792966613208,1,21.899646906226415,1,21.908047754245285,-1,21.88666699075472
692,-1,20.946078753962265,-1,20.911213353679244,1,20.967572368301887,-1,20.959333551603777,-1,20.919707195566037
701,-1,21.097784292830188,-1,20.9960953109434,1,21.09381248783019,-1,21.060596888113206,-1,21.060355709716983
713,1,30.92641073226416,-1,30.865843442075473,1,31.02928114216981,-1,31.010583242169808,-1,31.001802992924528
