ETFid,Mon_cprice,Tue_cprice,Wed_cprice,Thu_cprice,Fri_cprice
50,82.65,82.5,83,81.75,81.95
51,34.6,34.51,34.51,34.3,34.26
52,52.1,51.8,52.2,51.55,51.4
53,36.54,36.48,36.86,36.36,36.31
54,25.04,24.85,24.89,24.72,24.61
55,17.77,17.68,17.73,17.53,17.56
56,26.69,26.6,26.56,26.39,26.32
57,50.8,50.5,50.9,50.45,50.15
58,48.48,48.23,48.21,48.02,47.75
59,43.13,43.03,43.02,42.83,42.83
6201,14.53,14.66,14.51,14.49,14.48
6203,38.46,38.41,38.57,38.16,38.13
6204,55.7,55.45,55.5,55,55.05
6208,48.45,48.37,48.46,48.07,47.75
690,22.45,22.38,22.43,22.05,22.17
692,21.37,21.37,21.36,21.18,21.18
701,21.31,21.31,21.4,21.15,21.25
713,31.33,31.25,31.27,31,30.84
