ETFid,Mon_ud,Mon_cprice,Tue_ud,Tue_cprice,Wed_ud,Wed_cprice,Thu_ud,Thu_cprice,Fri_ud,Fri_cprice
50,1,82.94074725,-1,82.21695286,1,82.74422497,1,82.84874845,-1,82.8257007
51,-1,33.3982212,-1,33.38098839,-1,33.35802962,1,33.42922328,1,33.42939913
52,1,54.1292145,1,54.79145383,-1,54.02776794,1,54.12559625,1,54.15534309
53,1,36.48821498,1,36.65007723,-1,36.50823599,1,36.57687806,1,36.59151478
54,-1,24.23628755,-1,24.06989088,1,24.33727004,1,24.37970873,-1,24.35939633
55,-1,17.21933628,-1,17.14279055,1,17.2163502,1,17.22130815,-1,17.20703332
56,-1,26.20171553,-1,25.88364271,1,26.23542104,1,26.24771153,-1,26.24065943
57,1,51.02301982,-1,50.40184118,1,50.87285813,1,50.96428421,-1,50.94237713
58,1,47.15545935,-1,46.24919632,1,47.15828947,1,47.27136009,-1,47.2249384
59,-1,42.14062954,1,42.15396778,1,42.22786202,1,42.30876502,-1,42.26489039
6201,1,14.81271963,1,14.88580815,-1,14.75194178,1,14.7989602,1,14.81293831
6203,1,38.74363909,-1,38.42884842,1,38.7489074,1,38.84430618,1,38.84819139
6204,1,54.66469982,-1,54.44997089,1,54.7248418,1,54.76967548,-1,54.76514449
6208,1,48.54911824,-1,47.99761708,1,48.51467055,1,48.52774052,1,48.5664243
690,-1,21.88399014,-1,21.84795675,1,21.8897332,1,21.89804758,-1,21.87626304
692,-1,20.93826152,-1,20.90625287,1,20.96050034,-1,20.9524935,-1,20.91261361
701,1,21.08734493,-1,20.9841858,1,21.08126443,-1,21.04762985,-1,21.04693609
713,-1,30.90187342,-1,30.83891092,1,31.00335852,-1,30.98424077,-1,30.97431487
